variable,interval,clusters,time_steps,total_cells,data_points,nan_count,mean,min,max,check_no_nans,check_dims,check_stats,file_size_mb,status
cluster_lvu_long,1995-2000,1421,6,8526,8526,0,-0.5366153302609956,-2.1377345045788294,2.1766577792996444,PASS,PASS,PASS,0.08,SUCCESS
cluster_lvu_long,2000-2005,1421,6,8526,8526,0,-0.19767256624029922,-2.0302744743799286,2.434433923169626,PASS,PASS,PASS,0.08,SUCCESS
cluster_lvu_long,2005-2010,1421,6,8526,8526,0,0.10985761782571996,-1.966310170690107,2.635281836755666,PASS,PASS,PASS,0.08,SUCCESS
cluster_lvu_long,2010-2015,1421,6,8526,8526,0,0.45254881307977124,-1.8223904873880081,2.754895084655633,PASS,PASS,PASS,0.08,SUCCESS
cluster_lvu_long,2015-2020,1421,6,8526,8526,0,0.8055589074586783,-1.8441383506425475,2.7926340238326275,PASS,PASS,PASS,0.08,SUCCESS
cluster_mean_price_long,1990-1995,1421,4,5684,5684,0,-0.5410711857082848,-1.6268699811381973,2.8988006439469096,PASS,PASS,PASS,0.05,SUCCESS
cluster_mean_price_long,1995-2000,1421,6,8526,8526,0,-0.5705148511877064,-1.6268699811381973,2.8988006439469096,PASS,PASS,PASS,0.08,SUCCESS
cluster_mean_price_long,2000-2005,1421,6,8526,8526,0,-0.23905137568287735,-1.517508492809866,3.010575121004059,PASS,PASS,PASS,0.08,SUCCESS
cluster_mean_price_long,2005-2010,1421,6,8526,8526,0,0.22361645896967686,-1.4960350697232452,4.521170013410641,PASS,PASS,PASS,0.08,SUCCESS
cluster_mean_price_long,2010-2015,1421,6,8526,8526,0,0.21351327811005816,-1.4960350697232452,4.659783147845648,PASS,PASS,PASS,0.08,SUCCESS
cluster_mean_price_long,2015-2020,1421,6,8526,8526,0,0.658763811797352,-1.4960350697232452,5.644491266569887,PASS,PASS,PASS,0.08,SUCCESS
cluster_mean_sqm_long,1990-1995,1421,4,5684,5684,0,-0.6991630014528795,-2.138655973559873,2.3143272666609582,PASS,PASS,PASS,0.05,SUCCESS
cluster_mean_sqm_long,1995-2000,1421,6,8526,8526,0,-0.7217988481515265,-2.138655973559873,2.3143272666609582,PASS,PASS,PASS,0.08,SUCCESS
cluster_mean_sqm_long,2000-2005,1421,6,8526,8526,0,-0.24639392976762406,-2.0894884536595275,2.3143272666609582,PASS,PASS,PASS,0.08,SUCCESS
cluster_mean_sqm_long,2005-2010,1421,6,8526,8526,0,0.3100261996836914,-1.6591950216053482,3.8911451564502637,PASS,PASS,PASS,0.08,SUCCESS
cluster_mean_sqm_long,2010-2015,1421,6,8526,8526,0,0.20611515265335872,-1.7798883441396693,2.8080105706877094,PASS,PASS,PASS,0.08,SUCCESS
cluster_mean_sqm_long,2015-2020,1421,6,8526,8526,0,0.8253698149011555,-1.809595877216299,3.9099840798647114,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_in_long,1990-1995,1421,5,7105,7105,0,0.18658420733940723,-2.458724884961495,17.949644275206214,PASS,PASS,PASS,0.07,SUCCESS
cluster_mig_in_long,1995-2000,1421,6,8526,8526,0,0.05359238740569174,-2.3890153992908094,17.949644275206214,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_in_long,2000-2005,1421,6,8526,8526,0,-0.0905687258180382,-2.4752350263045515,11.042901813360693,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_in_long,2005-2010,1421,6,8526,8526,0,-0.019513194792723156,-2.4899107074983804,9.925715582480501,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_in_long,2010-2015,1421,6,8526,8526,0,0.1102439852043934,-2.4110289210815523,10.444867804712183,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_in_long,2015-2020,1421,6,8526,8526,0,-0.12025358729451804,-2.367001877500067,15.524487957926059,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_net_long,1990-1995,1421,5,7105,7105,0,0.1237589386784949,-14.704168085941564,24.421598024179897,PASS,PASS,PASS,0.07,SUCCESS
cluster_mig_net_long,1995-2000,1421,6,8526,8526,0,0.11573943971563411,-11.684440356978252,24.421598024179897,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_net_long,2000-2005,1421,6,8526,8526,0,-0.04540031194781896,-8.816042947006268,15.254649307099164,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_net_long,2005-2010,1421,6,8526,8526,0,-0.030845368558171903,-6.745569037170375,13.055773914482751,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_net_long,2010-2015,1421,6,8526,8526,0,0.10513048288147817,-6.745569037170375,14.440675621615508,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_net_long,2015-2020,1421,6,8526,8526,0,-0.16566886176226825,-10.017513964452565,21.10379542447609,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_out_long,1990-1995,1421,5,7105,7105,0,0.0887456370782728,-2.6326418996445824,10.261634061802871,PASS,PASS,PASS,0.07,SUCCESS
cluster_mig_out_long,1995-2000,1421,6,8526,8526,0,-0.039534275195063244,-2.4988105793008866,10.261634061802871,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_out_long,2000-2005,1421,6,8526,8526,0,-0.05496776430968469,-2.4969518109627797,10.183565791602382,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_out_long,2005-2010,1421,6,8526,8526,0,0.0052217967808502455,-2.6326418996445824,8.83595874647489,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_out_long,2010-2015,1421,6,8526,8526,0,0.02648274046708757,-2.6326418996445824,9.37314279618778,PASS,PASS,PASS,0.08,SUCCESS
cluster_mig_out_long,2015-2020,1421,6,8526,8526,0,0.012449758953216605,-2.377990637323939,7.551549824843035,PASS,PASS,PASS,0.08,SUCCESS
cluster_ool_long,1990-1995,1421,6,8526,8526,0,0.02004040989024443,-2.026486388137016,6.487740041974382,PASS,PASS,PASS,0.08,SUCCESS
cluster_ool_long,1995-2000,1421,6,8526,8526,0,-0.016667910333151896,-2.076435406548816,5.990331066956874,PASS,PASS,PASS,0.08,SUCCESS
cluster_ool_long,2000-2005,1421,6,8526,8526,0,-0.004800917555717907,-1.8755987283513704,6.060051571823346,PASS,PASS,PASS,0.08,SUCCESS
cluster_ool_long,2005-2010,1421,6,8526,8526,0,-0.03967205691434407,-1.8808017511025992,5.922691771190896,PASS,PASS,PASS,0.08,SUCCESS
cluster_ool_long,2010-2015,1421,6,8526,8526,0,0.11765787994593867,-2.063948151945866,6.154746585895715,PASS,PASS,PASS,0.08,SUCCESS
cluster_ool_long,2015-2020,1421,6,8526,8526,0,-0.06275277812547106,-2.02544578358677,6.49086185562512,PASS,PASS,PASS,0.08,SUCCESS
cluster_public_housing_long,1990-1995,1421,6,8526,8526,0,-0.027153524897837674,-0.5928388409540803,2.6573459086442655,PASS,PASS,PASS,0.08,SUCCESS
cluster_public_housing_long,1995-2000,1421,6,8526,8526,0,-0.017655178276339643,-0.5928388409540803,2.6573459086442655,PASS,PASS,PASS,0.08,SUCCESS
cluster_public_housing_long,2000-2005,1421,6,8526,8526,0,-0.005407402557022816,-0.5928388409540803,2.6573459086442655,PASS,PASS,PASS,0.08,SUCCESS
cluster_public_housing_long,2005-2010,1421,6,8526,8526,0,0.0023963192362011737,-0.5928388409540803,2.6573459086442655,PASS,PASS,PASS,0.08,SUCCESS
cluster_public_housing_long,2010-2015,1421,6,8526,8526,0,0.032833235844121726,-0.5928388409540803,2.6573459086442655,PASS,PASS,PASS,0.08,SUCCESS
cluster_public_housing_long,2015-2020,1421,6,8526,8526,0,0.014652824633065015,-0.5928388409540803,2.6573459086442655,PASS,PASS,PASS,0.08,SUCCESS
cluster_qol_long,1990-1995,1421,4,5684,5684,0,-0.9202728235044814,-4.2620499027110705,0.8779475515703044,PASS,PASS,PASS,0.05,SUCCESS
cluster_qol_long,1995-2000,1421,6,8526,8526,0,-0.5407760195081496,-3.7209975391025045,1.3288245212441092,PASS,PASS,PASS,0.08,SUCCESS
cluster_qol_long,2000-2005,1421,6,8526,8526,0,-0.11189065297633818,-3.3216493659628488,1.650879499582541,PASS,PASS,PASS,0.08,SUCCESS
cluster_qol_long,2005-2010,1421,6,8526,8526,0,0.17854582428679852,-3.3216493659628488,1.8376713870188321,PASS,PASS,PASS,0.08,SUCCESS
cluster_qol_long,2010-2015,1421,6,8526,8526,0,0.3593415813851296,-2.7934792014878203,1.921405681386824,PASS,PASS,PASS,0.08,SUCCESS
cluster_qol_long,2015-2020,1421,6,8526,8526,0,0.6858235880441415,-2.361925530514321,2.17904966405757,PASS,PASS,PASS,0.08,SUCCESS
cluster_unemp_long,1990-1995,1421,6,8526,8526,0,1.2699522926357214,-1.3680603529123951,6.804811662766584,PASS,PASS,PASS,0.08,SUCCESS
cluster_unemp_long,1995-2000,1421,6,8526,8526,0,0.1874610247876514,-1.3858274659899583,6.804811662766584,PASS,PASS,PASS,0.08,SUCCESS
cluster_unemp_long,2000-2005,1421,6,8526,8526,0,-0.4132224374888419,-1.3502932398348322,3.7145184614757936,PASS,PASS,PASS,0.08,SUCCESS
cluster_unemp_long,2005-2010,1421,6,8526,8526,0,-0.38140584325142324,-1.365099167399468,4.4915335400678815,PASS,PASS,PASS,0.08,SUCCESS
cluster_unemp_long,2010-2015,1421,6,8526,8526,0,-0.2665511611134034,-1.332526126757269,2.824978333392472,PASS,PASS,PASS,0.08,SUCCESS
cluster_unemp_long,2015-2020,1421,6,8526,8526,0,-0.470741955268517,-1.403594579067521,4.415134953834361,PASS,PASS,PASS,0.08,SUCCESS
